cluster,canonical_institution,count,corrected_name
0,USF ARS MÉDICA,10,USF ARS MÉDICA
0,USF ARS MEDICA,1,USF ARS MÉDICA
1,USF ESTRELA DO MAR,8,USF ESTRELA DO MAR
1,USF ESTRELA-DO-MAR,1,USF ESTRELA DO MAR
2,USF SAÚDE OESTE,5,USF SAÚDE OESTE
2,USF SAUDE OESTE,1,USF SAÚDE OESTE
3,"ULS LITORAL ALENTEJANO, E.P.E. - SEDE: SANTIAGO DO CACÉM",2,"ULS LITORAL ALENTEJANO, E.P.E. - SEDE: SANTIAGO DO CACÉM"
3,"ULS LITORAL ALENTEJANO, E. P. E. - SEDE: SANTIAGO DO CACÉM",1,"ULS LITORAL ALENTEJANO, E.P.E. - SEDE: SANTIAGO DO CACÉM"
4,USF SÃO FÉLIX-PEROSINHO,2,USF SÃO FÉLIX-PEROSINHO
4,USF SÃO FELIX - PEROSINHO,1,USF SÃO FÉLIX-PEROSINHO
5,USF FELGÁRIA RUBEANS,1,USF FELGÁRIA RUBEANS
5,USF FELGARIA RUBEANS,1,USF FELGÁRIA RUBEANS
